Nvit_RNA16008_R3	gene_0
Lhum_RNA18051_R0	gene_11981
Lhum_RNA18054_R0	gene_11981
Lhum_RNA18055_R0	gene_11981
Nvit_RNA975_R0	gene_11981
Lhum_RNA21828_R4	gene_11982
Lhum_RNA18065_R0	gene_11983
Lhum_RNA18067_R0	gene_11984
Dqua_RNA5331_R1	gene_11984
Dmel_RNA7067_R1	gene_11984
Lhum_RNA18069_R0	gene_11985
Cbir_RNA14207_R0	gene_11985
Cbir_RNA14206_R0	gene_11985
Amel_RNA28589_R0	gene_11985
Lhum_RNA18077_R0	gene_11986
Lhum_RNA18079_R0	gene_11987
Mpha_RNA18175_R0	gene_11988
Lhum_RNA18083_R0	gene_11989
Dmel_RNA31828_R0	gene_11989
Lhum_RNA18085_R0	gene_11990
Lhum_RNA18087_R0	gene_11990
Amel_RNA6902_R0	gene_11990
Lhum_RNA18103_R0	gene_11991
Lhum_RNA18106_R0	gene_11992
Sinv_RNA16263_R0	gene_11992
Lhum_RNA18109_R0	gene_11993
Dqua_RNA3542_R1	gene_11993
Aech_RNA9303_R2	gene_11993
Lhum_RNA18110_R0	gene_11994
Lhum_RNA18119_R0	gene_11995
Lhum_RNA18120_R0	gene_11996
Lhum_RNA18122_R0	gene_11997
Amel_RNA1897_R0	gene_11997
Lhum_RNA18125_R0	gene_11998
Amel_RNA6954_R0	gene_11998
Lhum_RNA18126_R0	gene_11999
Nvit_RNA11283_R0	gene_12000
Lhum_RNA18141_R0	gene_12001
Lhum_RNA18142_R0	gene_12002
Lhum_RNA18143_R0	gene_12003
Dqua_RNA20374_R0	gene_12003
Dqua_RNA23456_R1	gene_12003
Aech_RNA14959_R9	gene_12003
Cbir_RNA1645_R9	gene_12003
Dqua_RNA23463_R0	gene_12003
Lhum_RNA18146_R0	gene_12004
Mpha_RNA14155_R0	gene_12004
Mpha_RNA14156_R0	gene_12004
Dqua_RNA23433_R0	gene_12004
Dqua_RNA23426_R0	gene_12004
Dmel_RNA5166_R0	gene_12004
Dmel_RNA5167_R0	gene_12004
Lhum_RNA18148_R0	gene_12005
Lhum_RNA18147_R0	gene_12006
Lhum_RNA18212_R5	gene_12007
Lhum_RNA18150_R0	gene_12008
Lhum_RNA18152_R0	gene_12009
Lhum_RNA18158_R0	gene_12010
Lhum_RNA18160_R0	gene_12010
Lhum_RNA18159_R0	gene_12010
Sinv_RNA4863_R0	gene_12010
Lhum_RNA18161_R0	gene_12011
Lhum_RNA18163_R0	gene_12012
Lhum_RNA18164_R0	gene_12013
Lhum_RNA18165_R0	gene_12014
Dqua_RNA9737_R0	gene_12014
Dqua_RNA9739_R0	gene_12014
Dqua_RNA21006_R0	gene_12014
Cbir_RNA7381_R0	gene_12015
Nvit_RNA7939_R0	gene_12015
Lhum_RNA18172_R0	gene_12016
Lhum_RNA18174_R0	gene_12017
Lhum_RNA18177_R0	gene_12018
Lhum_RNA18178_R0	gene_12019
Lhum_RNA18179_R0	gene_12019
Dmel_RNA9207_R2	gene_12019
Dmel_RNA3677_R2	gene_12019
Dmel_RNA7355_R4	gene_12019
Lhum_RNA18180_R0	gene_12020
Dmel_RNA11648_R0	gene_12020
Lhum_RNA18183_R0	gene_12021
Lhum_RNA18184_R0	gene_12021
Lhum_RNA18191_R0	gene_12022
Mpha_RNA10017_R0	gene_12022
Dmel_RNA8155_R0	gene_12022
Lhum_RNA18199_R0	gene_12023
Mpha_RNA18228_R0	gene_12024
Lhum_RNA18208_R0	gene_12025
Lhum_RNA6849_R6	gene_12026
Lhum_RNA13918_R3	gene_12027
Lhum_RNA18139_R0	gene_12028
Cbir_RNA6489_R0	gene_12029
Lhum_RNA18134_R0	gene_12030
Lhum_RNA18136_R0	gene_12031
Lhum_RNA18137_R0	gene_12032
Lhum_RNA18140_R0	gene_12033
Lhum_RNA9185_R1	gene_12034
Lhum_RNA18144_R0	gene_12035
Lhum_RNA18149_R0	gene_12036
Lhum_RNA18151_R0	gene_12037
Lhum_RNA18153_R0	gene_12038
Nvit_RNA15888_R0	gene_12038
Amel_RNA16353_R0	gene_12038
Mpha_RNA3188_R0	gene_12038
Lhum_RNA18155_R0	gene_12039
Dmel_RNA33829_R0	gene_12039
Lhum_RNA18166_R0	gene_12040
Lhum_RNA18168_R0	gene_12041
Mpha_RNA19215_R0	gene_12041
Lhum_RNA18176_R0	gene_12042
Aech_RNA10830_R0	gene_12042
Aech_RNA77_R0	gene_12042
Lhum_RNA18182_R0	gene_12043
Lhum_RNA18181_R0	gene_12043
Lhum_RNA18185_R0	gene_12044
Lhum_RNA18195_R0	gene_12045
Lhum_RNA18194_R0	gene_12045
Cbir_RNA17040_R0	gene_12045
Aech_RNA17602_R0	gene_12045
Mpha_RNA10022_R0	gene_12045
Mpha_RNA10021_R0	gene_12045
Nvit_RNA19213_R0	gene_12045
Cbir_RNA25520_R0	gene_12046
Cbir_RNA25468_R0	gene_12047
Cbir_RNA25469_R0	gene_12047
Cbir_RNA17039_R0	gene_12048
Lhum_RNA18203_R0	gene_12049
Lhum_RNA18200_R0	gene_12049
Amel_RNA22840_R0	gene_12049
Dmel_RNA219_R0	gene_12049
Lhum_RNA18204_R0	gene_12050
Lhum_RNA18205_R0	gene_12051
Mpha_RNA18223_R0	gene_12051
Lhum_RNA18209_R0	gene_12052
Lhum_RNA18210_R0	gene_12052
Lhum_RNA18213_R0	gene_12053
Lhum_RNA18222_R0	gene_12054
Cbir_RNA3915_R0	gene_12054
Lhum_RNA18221_R0	gene_12055
Amel_RNA29157_R0	gene_12056
Dqua_RNA1449_R0	gene_12057
Sinv_RNA2945_R0	gene_12058
Lhum_RNA18230_R0	gene_12059
Lhum_RNA18212_R0	gene_12060
Lhum_RNA18214_R0	gene_12061
Lhum_RNA18217_R0	gene_12062
Lhum_RNA18219_R0	gene_12062
Mpha_RNA22971_R0	gene_12062
Lhum_RNA18223_R0	gene_12063
Lhum_RNA18224_R0	gene_12064
Lhum_RNA18227_R0	gene_12065
Lhum_RNA18233_R0	gene_12066
Lhum_RNA8235_R1	gene_12066
Lhum_RNA18234_R0	gene_12067
Lhum_RNA18239_R0	gene_12068
Cbir_RNA4886_R0	gene_12069
Cbir_RNA4887_R0	gene_12069
Lhum_RNA18235_R0	gene_12070
Dqua_RNA19672_R0	gene_12070
Lhum_RNA18238_R0	gene_12071
Amel_RNA22097_R0	gene_12071
Lhum_RNA18240_R0	gene_12072
Lhum_RNA8774_R1	gene_12073
Lhum_RNA18242_R0	gene_12074
Lhum_RNA18251_R0	gene_12075
Lhum_RNA18256_R0	gene_12076
Lhum_RNA18255_R0	gene_12077
Lhum_RNA18269_R0	gene_12078
Amel_RNA14682_R0	gene_12078
Lhum_RNA18271_R0	gene_12079
Lhum_RNA18272_R0	gene_12079
Mpha_RNA15533_R0	gene_12080
Cbir_RNA17960_R0	gene_12081
Lhum_RNA18297_R0	gene_12082
Lhum_RNA18300_R0	gene_12083
Lhum_RNA1039_R2	gene_12083
Sinv_RNA12900_R1	gene_12083
Sinv_RNA21947_R1	gene_12083
Cbir_RNA3187_R0	gene_12083
Sinv_RNA19160_R1	gene_12083
Lhum_RNA18301_R0	gene_12084
Aech_RNA586_R0	gene_12084
Lhum_RNA18302_R0	gene_12085
Dqua_RNA4409_R0	gene_12085
Aech_RNA590_R0	gene_12086
Lhum_RNA18305_R0	gene_12087
Aech_RNA3518_R1	gene_12087
Lhum_RNA18310_R0	gene_12088
Lhum_RNA18311_R0	gene_12089
Lhum_RNA18312_R0	gene_12090
Lhum_RNA18315_R0	gene_12091
Dqua_RNA5858_R0	gene_12092
Lhum_RNA18323_R0	gene_12093
Cbir_RNA20368_R0	gene_12094
Aech_RNA20586_R0	gene_12095
Mpha_RNA18233_R0	gene_12096
Lhum_RNA6435_R1	gene_12097
Lhum_RNA18252_R0	gene_12098
Lhum_RNA18253_R0	gene_12099
Lhum_RNA18254_R0	gene_12100
Lhum_RNA18257_R0	gene_12101
Lhum_RNA18260_R0	gene_12102
Lhum_RNA18265_R0	gene_12103
Lhum_RNA18264_R0	gene_12103
Lhum_RNA18262_R0	gene_12103
Lhum_RNA18263_R0	gene_12103
Aech_RNA7455_R0	gene_12103
Aech_RNA7454_R0	gene_12103
Lhum_RNA18270_R0	gene_12104
Amel_RNA14681_R0	gene_12104
Lhum_RNA18274_R0	gene_12105
Lhum_RNA18276_R0	gene_12106
Sinv_RNA8794_R1	gene_12107
Dqua_RNA1544_R0	gene_12108
Aech_RNA17752_R0	gene_12109
Cbir_RNA11915_R2	gene_12109
Dmel_RNA8908_R0	gene_12110
Lhum_RNA18285_R0	gene_12111
Lhum_RNA18291_R0	gene_12112
Lhum_RNA18295_R0	gene_12113
Lhum_RNA18294_R0	gene_12113
Lhum_RNA18293_R0	gene_12114
Dmel_RNA28003_R0	gene_12114
Lhum_RNA18296_R0	gene_12115
Lhum_RNA18299_R0	gene_12116
Lhum_RNA18298_R0	gene_12116
Aech_RNA5405_R0	gene_12116
Lhum_RNA18304_R0	gene_12117
Lhum_RNA18306_R0	gene_12118
Lhum_RNA18307_R0	gene_12119
Lhum_RNA18309_R0	gene_12119
Mpha_RNA22750_R0	gene_12119
Lhum_RNA18314_R0	gene_12120
Mpha_RNA6915_R0	gene_12121
Lhum_RNA18321_R0	gene_12122
Lhum_RNA18322_R0	gene_12123
Cbir_RNA3341_R0	gene_12124
Lhum_RNA18327_R0	gene_12125
Lhum_RNA18330_R0	gene_12126
Lhum_RNA18331_R0	gene_12127
Lhum_RNA18333_R0	gene_12128
Lhum_RNA18334_R0	gene_12129
Lhum_RNA18335_R0	gene_12130
Sinv_RNA20261_R4	gene_12130
Lhum_RNA18337_R0	gene_12131
Mpha_RNA16900_R0	gene_12131
Nvit_RNA11567_R0	gene_12131
Lhum_RNA18340_R0	gene_12132
Cbir_RNA18428_R3	gene_12133
Aech_RNA5720_R0	gene_12134
Dqua_RNA7705_R0	gene_12135
Lhum_RNA18366_R0	gene_12136
Amel_RNA10954_R0	gene_12137
Lhum_RNA18371_R0	gene_12138
Lhum_RNA18396_R0	gene_12139
Lhum_RNA18397_R0	gene_12140
Lhum_RNA18402_R0	gene_12141
Lhum_RNA18403_R0	gene_12141
Sinv_RNA3315_R0	gene_12142
Dqua_RNA7324_R3	gene_12143
Lhum_RNA18423_R0	gene_12144
Lhum_RNA18428_R0	gene_12145
Lhum_RNA18332_R0	gene_12146
Lhum_RNA18336_R0	gene_12147
Aech_RNA5711_R0	gene_12147
Aech_RNA5712_R0	gene_12147
Dqua_RNA7854_R0	gene_12147
Lhum_RNA18338_R0	gene_12148
Cbir_RNA3270_R0	gene_12148
Cbir_RNA3273_R0	gene_12149
Sinv_RNA21968_R0	gene_12149
Sinv_RNA4448_R0	gene_12149
Lhum_RNA18346_R0	gene_12150
Mpha_RNA17939_R0	gene_12150
Dqua_RNA7703_R0	gene_12150
Lhum_RNA18344_R0	gene_12150
Lhum_RNA18343_R0	gene_12150
Sinv_RNA4443_R0	gene_12150
Sinv_RNA4444_R0	gene_12150
Dqua_RNA7702_R0	gene_12150
Dqua_RNA7704_R0	gene_12150
Lhum_RNA1145_R6	gene_12151
Cbir_RNA3288_R0	gene_12152
Cbir_RNA3292_R0	gene_12153
Dqua_RNA7712_R0	gene_12154
Sinv_RNA4426_R0	gene_12154
Amel_RNA24240_R1	gene_12154
Lhum_RNA18370_R0	gene_12155
Lhum_RNA18372_R0	gene_12156
Aech_RNA14647_R0	gene_12156
Dmel_RNA32346_R0	gene_12156
Lhum_RNA18391_R0	gene_12157
Sinv_RNA4417_R0	gene_12158
Lhum_RNA18395_R0	gene_12159
Lhum_RNA18394_R0	gene_12159
Lhum_RNA18392_R0	gene_12159
Lhum_RNA18393_R0	gene_12159
Dmel_RNA8985_R0	gene_12159
Lhum_RNA18398_R0	gene_12160
Aech_RNA14626_R0	gene_12160
Dmel_RNA8983_R0	gene_12160
Lhum_RNA18399_R0	gene_12161
Lhum_RNA18404_R0	gene_12162
Dqua_RNA7793_R0	gene_12162
Nvit_RNA11600_R0	gene_12162
Lhum_RNA18400_R0	gene_12163
Lhum_RNA18401_R0	gene_12164
Lhum_RNA18407_R0	gene_12165
Mpha_RNA14770_R0	gene_12166
Nvit_RNA21092_R9	gene_12167
Amel_RNA290_R0	gene_12168
Lhum_RNA18421_R0	gene_12169
Lhum_RNA18422_R0	gene_12169
Amel_RNA623_R0	gene_12169
Lhum_RNA18424_R0	gene_12170
Sinv_RNA2338_R0	gene_12170
Lhum_RNA18425_R0	gene_12171
Sinv_RNA11183_R0	gene_12171
Amel_RNA28791_R0	gene_12171
Lhum_RNA18427_R0	gene_12172
Dqua_RNA7809_R1	gene_12172
Lhum_RNA2561_R5	gene_12173
Lhum_RNA18429_R0	gene_12174
Lhum_RNA18430_R0	gene_12175
Dmel_RNA13790_R0	gene_12176
Lhum_RNA18434_R0	gene_12177
Lhum_RNA18436_R0	gene_12178
Lhum_RNA18444_R0	gene_12179
Lhum_RNA18445_R0	gene_12179
Amel_RNA3124_R4	gene_12179
Lhum_RNA18448_R0	gene_12180
Sinv_RNA13235_R0	gene_12181
Sinv_RNA13233_R0	gene_12182
Lhum_RNA18453_R0	gene_12183
Lhum_RNA18452_R0	gene_12183
Cbir_RNA16378_R0	gene_12184
Amel_RNA14461_R0	gene_12185
Lhum_RNA18467_R0	gene_12186
Lhum_RNA18468_R0	gene_12186
Cbir_RNA16386_R0	gene_12186
Lhum_RNA18476_R0	gene_12187
Lhum_RNA18479_R0	gene_12188
Dqua_RNA507_R0	gene_12189
Lhum_RNA18499_R0	gene_12189
Lhum_RNA18497_R0	gene_12189
Lhum_RNA18504_R0	gene_12190
Sinv_RNA13094_R0	gene_12191
Lhum_RNA18509_R0	gene_12191
Dmel_RNA18987_R0	gene_12191
Lhum_RNA18520_R0	gene_12192
Lhum_RNA18525_R0	gene_12193
Amel_RNA2719_R0	gene_12193
Amel_RNA2718_R0	gene_12193
Lhum_RNA18531_R0	gene_12194
Lhum_RNA18544_R0	gene_12195
Lhum_RNA18545_R0	gene_12195
Amel_RNA13086_R2	gene_12195
Dqua_RNA3361_R0	gene_12196
Mpha_RNA3776_R0	gene_12196
Lhum_RNA18550_R0	gene_12197
Lhum_RNA18553_R0	gene_12198
Lhum_RNA18554_R0	gene_12198
Mpha_RNA2301_R0	gene_12199
Lhum_RNA18563_R0	gene_12200
Sinv_RNA4555_R0	gene_12201
Lhum_RNA18564_R0	gene_12202
Dqua_RNA2752_R0	gene_12202
Lhum_RNA18567_R0	gene_12203
Mpha_RNA7013_R0	gene_12203
Sinv_RNA4561_R0	gene_12204
Lhum_RNA18570_R0	gene_12204
Mpha_RNA18752_R0	gene_12205
Lhum_RNA18584_R0	gene_12206
Lhum_RNA18595_R0	gene_12207
Cbir_RNA17833_R0	gene_12207
Lhum_RNA18598_R0	gene_12208
Aech_RNA11689_R0	gene_12208
Lhum_RNA18600_R0	gene_12209
Dmel_RNA33334_R0	gene_12209
Lhum_RNA18602_R0	gene_12210
Cbir_RNA21964_R0	gene_12211
Lhum_RNA18613_R0	gene_12212
Dqua_RNA17216_R0	gene_12213
Lhum_RNA18620_R0	gene_12214
Cbir_RNA21982_R0	gene_12214
Lhum_RNA18623_R0	gene_12215
Lhum_RNA18624_R0	gene_12216
Lhum_RNA18627_R0	gene_12217
Lhum_RNA18629_R0	gene_12218
Lhum_RNA18632_R0	gene_12219
Lhum_RNA18633_R0	gene_12220
Lhum_RNA18634_R0	gene_12221
Lhum_RNA18647_R0	gene_12222
Mpha_RNA6546_R0	gene_12223
Mpha_RNA13168_R0	gene_12224
Aech_RNA1803_R0	gene_12225
Lhum_RNA18667_R0	gene_12226
Mpha_RNA9176_R0	gene_12227
Lhum_RNA18687_R0	gene_12228
Lhum_RNA18691_R0	gene_12229
Lhum_RNA18690_R0	gene_12230
Lhum_RNA18689_R0	gene_12230
Lhum_RNA18696_R0	gene_12231
Lhum_RNA18700_R0	gene_12232
Lhum_RNA18701_R0	gene_12233
Lhum_RNA18433_R0	gene_12234
Sinv_RNA17479_R0	gene_12234
Aech_RNA12315_R0	gene_12235
Lhum_RNA18446_R0	gene_12236
Lhum_RNA18455_R0	gene_12237
Lhum_RNA18459_R0	gene_12238
Lhum_RNA18469_R0	gene_12239
Dqua_RNA22393_R0	gene_12239
Dqua_RNA22392_R0	gene_12240
Lhum_RNA18478_R0	gene_12241
Mpha_RNA10917_R0	gene_12241
Lhum_RNA18481_R0	gene_12242
Lhum_RNA18484_R0	gene_12243
Mpha_RNA18563_R1	gene_12243
Lhum_RNA18482_R0	gene_12244
Lhum_RNA18487_R0	gene_12245
Lhum_RNA18489_R0	gene_12245
Lhum_RNA18488_R0	gene_12245
Amel_RNA28898_R0	gene_12245
Lhum_RNA18491_R0	gene_12246
Cbir_RNA16373_R0	gene_12246
Nvit_RNA1254_R0	gene_12246
Lhum_RNA18492_R0	gene_12247
Dqua_RNA516_R0	gene_12247
Lhum_RNA18498_R0	gene_12248
Cbir_RNA16360_R0	gene_12248
Dmel_RNA25363_R0	gene_12248
Lhum_RNA18500_R0	gene_12249
Aech_RNA1084_R0	gene_12249
Mpha_RNA17757_R0	gene_12249
Lhum_RNA18502_R0	gene_12250
Lhum_RNA18503_R0	gene_12250
Amel_RNA13911_R0	gene_12250
Lhum_RNA18524_R0	gene_12251
Lhum_RNA18523_R0	gene_12251
Cbir_RNA14335_R0	gene_12251
Cbir_RNA14334_R0	gene_12251
Lhum_RNA18522_R0	gene_12251
Dmel_RNA3927_R1	gene_12251
Lhum_RNA18533_R0	gene_12252
Dqua_RNA17073_R0	gene_12252
Lhum_RNA18542_R0	gene_12253
Dmel_RNA11145_R0	gene_12253
Lhum_RNA18543_R0	gene_12254
Lhum_RNA18546_R0	gene_12255
Lhum_RNA18555_R0	gene_12256
Lhum_RNA18557_R0	gene_12257
Lhum_RNA18560_R0	gene_12258
Lhum_RNA18566_R0	gene_12259
Lhum_RNA18571_R0	gene_12260
Amel_RNA18500_R0	gene_12260
Dqua_RNA2746_R0	gene_12260
Lhum_RNA18573_R0	gene_12261
Amel_RNA27566_R0	gene_12262
Dmel_RNA2034_R1	gene_12262
Lhum_RNA18596_R0	gene_12263
Lhum_RNA18597_R0	gene_12263
Lhum_RNA18601_R0	gene_12264
Lhum_RNA18603_R0	gene_12265
Nvit_RNA14850_R1	gene_12265
Lhum_RNA18604_R0	gene_12266
Nvit_RNA16399_R0	gene_12266
Dmel_RNA128_R0	gene_12266
Lhum_RNA18606_R0	gene_12267
Aech_RNA2444_R3	gene_12267
Lhum_RNA18609_R0	gene_12268
Mpha_RNA6176_R0	gene_12269
Lhum_RNA18614_R0	gene_12270
Dqua_RNA17219_R0	gene_12271
Lhum_RNA18619_R0	gene_12272
Nvit_RNA5438_R0	gene_12272
Lhum_RNA18621_R0	gene_12273
Lhum_RNA18630_R0	gene_12274
Lhum_RNA18635_R0	gene_12275
Sinv_RNA2329_R0	gene_12275
Aech_RNA73_R0	gene_12275
Cbir_RNA13170_R0	gene_12275
Lhum_RNA18636_R0	gene_12276
Sinv_RNA6449_R0	gene_12276
Sinv_RNA9074_R0	gene_12276
Amel_RNA576_R0	gene_12277
Lhum_RNA18648_R0	gene_12278
Lhum_RNA18650_R0	gene_12279
Lhum_RNA18657_R0	gene_12280
Lhum_RNA18660_R0	gene_12281
Lhum_RNA18659_R0	gene_12281
Mpha_RNA2677_R0	gene_12281
Lhum_RNA18661_R0	gene_12282
Lhum_RNA18663_R0	gene_12283
Lhum_RNA18665_R0	gene_12284
Lhum_RNA18666_R0	gene_12284
Sinv_RNA1030_R0	gene_12284
Sinv_RNA1031_R0	gene_12284
Lhum_RNA18669_R0	gene_12285
Mpha_RNA16931_R0	gene_12285
Sinv_RNA21080_R0	gene_12285
Lhum_RNA18674_R0	gene_12286
Sinv_RNA1151_R0	gene_12286
Lhum_RNA18677_R0	gene_12287
Sinv_RNA2236_R0	gene_12287
Lhum_RNA18680_R0	gene_12288
Lhum_RNA18684_R0	gene_12289
Lhum_RNA18692_R0	gene_12290
Mpha_RNA17963_R0	gene_12290
Lhum_RNA18693_R0	gene_12291
Aech_RNA1768_R0	gene_12291
Aech_RNA1773_R0	gene_12291
Dmel_RNA3928_R0	gene_12291
Lhum_RNA18698_R0	gene_12292
Lhum_RNA18702_R0	gene_12293
Cbir_RNA15933_R0	gene_12293
Dqua_RNA114_R0	gene_12293
Lhum_RNA3847_R1	gene_12293
Sinv_RNA2153_R1	gene_12293
Dmel_RNA25274_R2	gene_12293
Lhum_RNA18704_R0	gene_12294
Lhum_RNA18705_R0	gene_12295
Lhum_RNA655_R5	gene_12296
Cbir_RNA6444_R0	gene_12297
Lhum_RNA12331_R6	gene_12298
Lhum_RNA12331_R7	gene_12299
Cbir_RNA6456_R6	gene_12300
Mpha_RNA4989_R0	gene_12301
Mpha_RNA9929_R8	gene_12302
Sinv_RNA11366_R6	gene_12303
Sinv_RNA11357_R1	gene_12304
Sinv_RNA11366_R3	gene_12305
Lhum_RNA18706_R0	gene_12306
Sinv_RNA11357_R0	gene_12306
Sinv_RNA11356_R0	gene_12306
Sinv_RNA11355_R0	gene_12306
Sinv_RNA11351_R0	gene_12306
Cbir_RNA6455_R6	gene_12307
Dqua_RNA8627_R0	gene_12308
Lhum_RNA18709_R0	gene_12309
Lhum_RNA18710_R0	gene_12310
Lhum_RNA18713_R0	gene_12311
Cbir_RNA6437_R0	gene_12311
Mpha_RNA9935_R0	gene_12311
Lhum_RNA18717_R0	gene_12312
Lhum_RNA18719_R0	gene_12313
Lhum_RNA18722_R0	gene_12314
Amel_RNA7332_R0	gene_12314
Lhum_RNA18728_R0	gene_12315
Lhum_RNA18731_R0	gene_12316
Lhum_RNA18737_R0	gene_12317
Lhum_RNA18738_R0	gene_12318
Lhum_RNA18740_R0	gene_12319
Lhum_RNA18742_R0	gene_12319
Lhum_RNA18744_R0	gene_12320
Amel_RNA22764_R0	gene_12320
Cbir_RNA11858_R0	gene_12320
Dqua_RNA22082_R0	gene_12320
Lhum_RNA18753_R0	gene_12321
Sinv_RNA5789_R0	gene_12321
Lhum_RNA18755_R0	gene_12322
Lhum_RNA18761_R0	gene_12323
Lhum_RNA18759_R0	gene_12324
Lhum_RNA18760_R0	gene_12324
Lhum_RNA18756_R0	gene_12324
Lhum_RNA18763_R0	gene_12325
Amel_RNA22746_R0	gene_12325
Lhum_RNA18765_R0	gene_12326
Lhum_RNA18777_R0	gene_12327
Dmel_RNA1442_R0	gene_12327
Dmel_RNA21638_R0	gene_12327
Lhum_RNA18780_R0	gene_12328
Lhum_RNA18782_R0	gene_12329
Lhum_RNA18778_R0	gene_12330
Lhum_RNA18781_R0	gene_12331
Lhum_RNA18873_R4	gene_12332
Lhum_RNA18790_R0	gene_12333
Lhum_RNA18795_R0	gene_12334
Lhum_RNA18796_R0	gene_12335
Lhum_RNA18809_R0	gene_12336
Lhum_RNA18820_R0	gene_12337
Lhum_RNA18821_R0	gene_12338
Lhum_RNA18824_R0	gene_12339
Aech_RNA17702_R0	gene_12339
Dmel_RNA19333_R0	gene_12340
Lhum_RNA18833_R0	gene_12341
Lhum_RNA18838_R0	gene_12342
Cbir_RNA16471_R0	gene_12342
Lhum_RNA18848_R0	gene_12343
Sinv_RNA15600_R0	gene_12343
Lhum_RNA18858_R0	gene_12344
Lhum_RNA18859_R0	gene_12345
Lhum_RNA18869_R0	gene_12346
Cbir_RNA16454_R0	gene_12346
Lhum_RNA18874_R0	gene_12347
Lhum_RNA18877_R0	gene_12348
Lhum_RNA18887_R0	gene_12349
Cbir_RNA21158_R0	gene_12350
Lhum_RNA18889_R0	gene_12351
Lhum_RNA18900_R0	gene_12352
Aech_RNA15331_R8	gene_12352
Lhum_RNA18914_R0	gene_12353
Lhum_RNA18916_R0	gene_12354
Lhum_RNA18918_R0	gene_12355
Dmel_RNA31101_R0	gene_12355
Dqua_RNA19970_R0	gene_12355
Lhum_RNA18919_R0	gene_12356
Cbir_RNA6282_R0	gene_12356
Lhum_RNA18921_R0	gene_12357
Lhum_RNA18923_R0	gene_12358
Lhum_RNA18925_R0	gene_12359
Lhum_RNA18926_R0	gene_12360
Lhum_RNA18928_R0	gene_12361
Lhum_RNA18932_R0	gene_12362
Lhum_RNA18931_R0	gene_12362
Lhum_RNA18935_R0	gene_12362
Lhum_RNA18934_R0	gene_12362
Lhum_RNA18929_R0	gene_12362
Lhum_RNA18930_R0	gene_12362
Dqua_RNA15621_R0	gene_12362
Dqua_RNA15618_R0	gene_12362
Cbir_RNA9652_R0	gene_12363
Lhum_RNA18970_R0	gene_12364
Lhum_RNA18971_R0	gene_12365
Lhum_RNA18974_R0	gene_12366
Lhum_RNA18972_R0	gene_12366
Dqua_RNA19949_R0	gene_12366
Amel_RNA10026_R0	gene_12366
Lhum_RNA18987_R0	gene_12367
Lhum_RNA18990_R0	gene_12368
Dqua_RNA12737_R0	gene_12368
Aech_RNA12105_R0	gene_12369
Lhum_RNA19002_R0	gene_12369
Lhum_RNA19005_R0	gene_12370
Lhum_RNA19006_R0	gene_12371
Aech_RNA17108_R0	gene_12371
Aech_RNA17111_R0	gene_12371
Lhum_RNA19009_R0	gene_12372
Lhum_RNA19010_R0	gene_12373
Lhum_RNA19012_R0	gene_12374
Lhum_RNA19013_R0	gene_12375
Lhum_RNA19016_R0	gene_12376
Lhum_RNA19018_R0	gene_12377
Dmel_RNA20942_R2	gene_12378
Lhum_RNA19026_R0	gene_12379
Lhum_RNA19030_R0	gene_12380
Lhum_RNA19032_R0	gene_12381
Lhum_RNA19035_R0	gene_12382
Lhum_RNA19033_R0	gene_12382
Lhum_RNA19036_R0	gene_12383
Lhum_RNA19040_R0	gene_12384
Lhum_RNA19042_R0	gene_12385
Lhum_RNA19051_R0	gene_12386
Lhum_RNA19054_R0	gene_12387
Nvit_RNA2499_R0	gene_12387
Lhum_RNA19062_R0	gene_12388
Lhum_RNA19063_R0	gene_12389
Aech_RNA18421_R0	gene_12390
Lhum_RNA19066_R0	gene_12391
Aech_RNA18424_R0	gene_12392
Sinv_RNA808_R0	gene_12393
Lhum_RNA19076_R0	gene_12394
Nvit_RNA5914_R0	gene_12394
Cbir_RNA12171_R1	gene_12394
Lhum_RNA19078_R0	gene_12395
Sinv_RNA3830_R0	gene_12395
Lhum_RNA19083_R0	gene_12396
Lhum_RNA19087_R0	gene_12397
Dqua_RNA7554_R0	gene_12397
Lhum_RNA19099_R0	gene_12398
Lhum_RNA19109_R0	gene_12399
Lhum_RNA19111_R0	gene_12400
Lhum_RNA19112_R0	gene_12400
Lhum_RNA19127_R0	gene_12401
Lhum_RNA19130_R0	gene_12402
Lhum_RNA19137_R0	gene_12403
Lhum_RNA19138_R0	gene_12404
Lhum_RNA19145_R0	gene_12405
Lhum_RNA19150_R0	gene_12406
Lhum_RNA19152_R0	gene_12407
Lhum_RNA19158_R0	gene_12408
Lhum_RNA19162_R0	gene_12409
Sinv_RNA901_R0	gene_12410
Lhum_RNA19169_R0	gene_12411
Lhum_RNA19173_R0	gene_12412
Amel_RNA1078_R0	gene_12413
Lhum_RNA19175_R0	gene_12414
Dmel_RNA32355_R3	gene_12414
Dmel_RNA18256_R6	gene_12414
Lhum_RNA19178_R0	gene_12415
Amel_RNA17078_R0	gene_12415
Dmel_RNA24345_R0	gene_12415
Lhum_RNA19181_R0	gene_12416
Lhum_RNA19179_R0	gene_12417
Aech_RNA177_R0	gene_12418
Dmel_RNA7002_R0	gene_12419
Sinv_RNA877_R0	gene_12420
Lhum_RNA19185_R0	gene_12421
Lhum_RNA19187_R0	gene_12422
Cbir_RNA23942_R0	gene_12422
Lhum_RNA19192_R0	gene_12423
Mpha_RNA3935_R0	gene_12423
Aech_RNA18573_R1	gene_12423
Lhum_RNA19194_R0	gene_12424
